form	lemma	POS
"
    
    "	"
    
    "	SPACE
Nous	nous	PRON
nous	nous	PRON
exprimons	exprimer	VERB
nécessairement	nécessairement	ADV
par	par	ADP
des	un	DET
mots	mot	NOUN
,	,	PUNCT
et	et	CCONJ
nous	nous	PRON
pensons	penser	VERB
le	le	DET
plus	plus	ADV
souvent	souvent	ADV
dans	dans	ADP
l'	le	DET
espace	espace	NOUN
.	.	PUNCT
En	en	ADP
d'	d'	DET
autres	autre	ADJ
termes	terme	NOUN
,	,	PUNCT
le	le	DET
langage	langage	NOUN
exige	exiger	VERB
que	que	SCONJ
nous	nous	PRON
établissions	établir	VERB
entre	entre	ADP
nos	notre	DET
idées	idée	NOUN
les	le	DET
mêmes	même	ADJ
distinctions	distinction	NOUN
nettes	net	ADJ
et	et	CCONJ
précises	précis	ADJ
,	,	PUNCT
la	le	DET
même	même	ADJ
discontinuité	discontinuité	NOUN
qu'	que	SCONJ
entre	entre	ADP
les	le	DET
objets	objet	NOUN
matériels	matériel	NOUN
.	.	PUNCT
Cette	ce	DET
assimilation	assimilation	NOUN
est	être	AUX
utile	utile	ADJ
dans	dans	ADP
la	le	DET
vie	vie	NOUN
pratique	pratique	NOUN
,	,	PUNCT
et	et	CCONJ
nécessaire	nécessaire	ADJ
dans	dans	ADP
la	le	DET
plupart	plupart	NOUN
des	de	ADP
sciences	science	NOUN
.	.	PUNCT
Mais	mais	CCONJ
on	on	PRON
pourrait	pouvoir	VERB
se	se	PRON
demander	demander	VERB
si	si	SCONJ
les	le	DET
difficultés	difficulté	NOUN
insurmontables	insurmontable	ADJ
que	que	SCONJ
certains	certain	DET
problèmes	problème	NOUN
philosophiques	philosophique	ADJ
soulèvent	soulever	VERB
ne	ne	ADV
viendraient	venir	VERB
pas	pas	ADV
de	de	ADP
ce	ce	PRON
qu'	qu'	PRON
on	on	PRON
s'	se	PRON
obstine	obstine	VERB
à	à	ADP
juxtaposer	juxtaposer	VERB
dans	dans	ADP
l'	le	DET
espace	espace	NOUN
les	le	DET
phénomènes	phénomène	NOUN
qui	qui	PRON
n'	n'	ADV
occupent	occuper	VERB
point	poindre	VERB
d'	de	ADP
espace	espace	NOUN
,	,	PUNCT
et	et	CCONJ
si	si	SCONJ
,	,	PUNCT
en	en	ADP
faisant	faire	AUX
abstraction	abstraction	NOUN
des	de	ADP
grossières	grossière	NOUN
images	image	ADJ
autour	autour	ADV
desquelles	desquelle	ADJ
le	le	DET
combat	combat	NOUN
se	se	PRON
livre	livre	NOUN
,	,	PUNCT
on	on	PRON
n'	n'	ADV
y	y	PRON
mettrait	mettre	VERB
pas	pas	ADV
parfois	parfois	ADV
un	un	DET
terme	terme	NOUN
.	.	PUNCT
Quand	quand	SCONJ
une	un	DET
traduction	traduction	NOUN
illégitime	illégitime	ADJ
de	de	ADP
l'	le	DET
inétendu	inétendu	NOUN
en	en	ADP
étendu	étendre	VERB
,	,	PUNCT
de	de	ADP
la	le	DET
qualité	qualité	NOUN
en	en	ADP
quantité	quantité	NOUN
,	,	PUNCT
a	avoir	AUX
installé	installer	VERB
la	le	DET
contradiction	contradiction	NOUN
au	au	DET
cœur	cœur	PROPN
même	même	ADV
de	de	ADP
la	le	DET
question	question	NOUN
posée	poser	ADJ
est	être	AUX
-il	il	PRON
étonnant	étonner	VERB
que	que	SCONJ
la	le	DET
contradiction	contradiction	NOUN
se	se	PRON
retrouve	retrouve	VERB
dans	dans	ADP
les	le	DET
solutions	solution	NOUN
qu'	qu'	PRON
on	on	PRON
en	en	PRON
donne	donne	VERB
?	?	PUNCT
"
"	"
"	SPACE
Nous	nous	PRON
avons	avoir	AUX
choisi	choisir	VERB
,	,	PUNCT
parmi	parmi	ADP
les	le	DET
problèmes	problème	NOUN
,	,	PUNCT
celui	celui	VERB
qui	qui	PRON
est	être	AUX
commun	commun	ADJ
à	à	ADP
la	le	DET
métaphysique	métaphysique	NOUN
et	et	CCONJ
à	à	ADP
la	le	DET
psychologie	psychologie	NOUN
,	,	PUNCT
le	le	DET
problème	problème	NOUN
de	de	ADP
la	le	DET
liberté	liberté	NOUN
.	.	PUNCT
Nous	nous	PRON
essayons	essayer	VERB
d'	de	ADP
établir	établir	VERB
que	que	SCONJ
toute	tout	DET
discussion	discussion	NOUN
entre	entre	ADP
les	le	DET
déterministes	déterministe	NOUN
et	et	CCONJ
leurs	leur	DET
adversaires	adversaire	NOUN
implique	implique	VERB
une	un	DET
confusion	confusion	NOUN
préalable	préalable	ADJ
de	de	ADP
la	le	DET
durée	durée	NOUN
avec	avec	ADP
l'	le	DET
étendue	étendue	NOUN
,	,	PUNCT
de	de	ADP
la	le	DET
succession	succession	NOUN
avec	avec	ADP
la	le	DET
simultanéité	simultanéité	NOUN
,	,	PUNCT
de	de	ADP
la	le	DET
qualité	qualité	NOUN
avec	avec	ADP
la	le	DET
quantité	quantité	NOUN
:	:	PUNCT
une	un	DET
fois	fois	NOUN
cette	ce	DET
confusion	confusion	NOUN
dissipée	dissiper	VERB
,	,	PUNCT
on	on	PRON
verrait	voir	VERB
peut-être	peut-être	ADV
s'	se	PRON
évanouir	évanouir	VERB
les	le	DET
objections	objection	NOUN
élevées	élever	VERB
contre	contre	ADP
la	le	DET
liberté	liberté	NOUN
,	,	PUNCT
les	le	DET
définitions	définition	NOUN
qu'	qu'	PRON
on	on	PRON
en	en	PRON
donne	donne	VERB
,	,	PUNCT
et	et	CCONJ
,	,	PUNCT
en	en	ADP
un	un	DET
certain	certain	ADJ
sens	sens	NOUN
,	,	PUNCT
le	le	DET
problème	problème	NOUN
de	de	ADP
la	le	DET
liberté	liberté	NOUN
lui-même	lui-même	PRON
.	.	PUNCT
Cette	ce	DET
démonstration	démonstration	NOUN
fait	faire	VERB
l'	le	DET
objet	objet	NOUN
de	de	ADP
la	le	DET
troisième	troisième	ADJ
partie	partie	NOUN
de	de	ADP
notre	notre	DET
travail	travail	NOUN
:	:	PUNCT
les	le	DET
deux	deux	NUM
premiers	premier	ADJ
chapitres	chapitre	NOUN
,	,	PUNCT
où	où	PRON
l'	le	DET
on	on	PRON
étudie	étudier	VERB
les	le	DET
notions	notion	NOUN
d'	de	ADP
intensité	intensité	NOUN
et	et	CCONJ
de	de	ADP
durée	durée	NOUN
,	,	PUNCT
ont	avoir	AUX
été	être	AUX
écrits	écrire	VERB
pour	pour	ADP
servir	servir	NOUN
d'	de	ADP
introduction	introduction	NOUN
au	au	DET
troisième	troisième	NOUN
.	.	PUNCT
"
"	"
"	SPACE
On	on	PRON
admet	admettre	VERB
d'	de	ADP
ordinaire	ordinaire	NOUN
que	que	SCONJ
les	le	DET
états	état	NOUN
de	de	ADP
conscience	conscience	NOUN
,	,	PUNCT
sensations	sensation	NOUN
,	,	PUNCT
sentiments	sentiment	NOUN
,	,	PUNCT
passions	passion	NOUN
,	,	PUNCT
efforts	effort	NOUN
,	,	PUNCT
sont	être	AUX
susceptibles	susceptible	ADJ
de	de	ADP
croître	croître	NOUN
et	et	CCONJ
de	de	ADP
diminuer	diminuer	VERB
;	;	PUNCT
quelques-uns	quelques-uns	PRON
assurent	assurer	VERB
même	même	ADV
qu'	que	SCONJ
une	un	DET
sensation	sensation	NOUN
peut	pouvoir	VERB
être	être	AUX
dite	dire	VERB
deux	deux	NUM
,	,	PUNCT
trois	trois	NUM
,	,	PUNCT
quatre	quatre	NUM
fois	fois	NOUN
plus	plus	ADV
intense	intense	VERB
qu'	que	SCONJ
une	un	DET
autre	autre	ADJ
sensation	sensation	NOUN
de	de	ADP
même	même	ADJ
nature	nature	NOUN
.	.	PUNCT
Nous	nous	PRON
examinerons	examiner	VERB
plus	plus	ADV
loin	loin	ADV
cette	ce	DET
dernière	dernier	ADJ
thèse	thèse	NOUN
,	,	PUNCT
qui	qui	PRON
est	être	AUX
celle	celle	VERB
des	de	ADP
psychophysiciens	psychophysicien	NOUN
;	;	PUNCT
mais	mais	CCONJ
les	le	DET
adversaires	adversaire	NOUN
mêmes	même	ADJ
de	de	ADP
la	le	DET
psychophysique	psychophysique	NOUN
ne	ne	ADV
voient	voir	VERB
aucun	aucun	DET
inconvénient	inconvénient	ADV
à	à	ADP
parler	parler	VERB
d'	de	ADP
une	un	DET
sensation	sensation	NOUN
plus	plus	ADV
intense	intense	VERB
qu'	que	SCONJ
une	un	DET
autre	autre	ADJ
sensation	sensation	NOUN
,	,	PUNCT
d'	de	ADP
un	un	DET
