form	lemma	POS
"
    
     "	"
    
     "	SPACE
Quand	quand	SCONJ
la	le	DET
conférence	conférence	NOUN
qu'	que	SCONJ
on	on	PRON
doit	devoir	VERB
faire	faire	VERB
est	être	AUX
dédiée	dédier	VERB
à	à	ADP
la	le	DET
mémoire	mémoire	NOUN
d'	de	ADP
un	un	DET
savant	savant	NOUN
,	,	PUNCT
on	on	PRON
peut	pouvoir	VERB
se	se	PRON
sentir	sentir	VERB
gêné	gêné	NOUN
par	par	ADP
l'	le	DET
obligation	obligation	NOUN
de	de	ADP
traiter	traiter	VERB
un	un	DET
sujet	sujet	NOUN
qui	qui	PRON
l'	l'	PRON
eût	eût	PROPN
plus	plus	ADV
ou	ou	CCONJ
moins	moins	ADV
intéressé	intéresser	VERB
.	.	PUNCT
Je	je	PRON
n'	n'	ADV
éprouve	éprouve	VERB
aucun	aucun	DET
embarras	embarras	NOUN
de	de	ADP
ce	ce	DET
genre	genre	NOUN
devant	devant	ADP
le	le	DET
nom	nom	NOUN
de	de	ADP
Huxley	Huxley	PROPN
.	.	PUNCT
La	le	DET
difficulté	difficulté	NOUN
serait	être	AUX
plutôt	plutôt	ADV
de	de	ADP
trouver	trouver	VERB
un	un	DET
problème	problème	NOUN
qui	qui	PRON
eût	avoir	AUX
laissé	laissé	PROPN
indifférent	indifférer	VERB
ce	ce	DET
grand	grand	ADJ
esprit	esprit	NOUN
,	,	PUNCT
un	un	PRON
des	de	ADP
plus	plus	ADV
vastes	vaste	ADJ
que	que	SCONJ
l'	le	DET
Angleterre	angleterre	NOUN
ait	avoir	AUX
produits	produire	VERB
au	au	DET
cours	cours	NOUN
du	de	DET
siècle	siècle	NOUN
dernier	dernier	ADJ
.	.	PUNCT
Il	il	PRON
m'	me	PRON
a	avoir	AUX
paru	paraître	VERB
toutefois	toutefois	ADV
que	que	SCONJ
la	le	DET
triple	triple	NOUN
question	question	NOUN
de	de	ADP
la	le	DET
conscience	conscience	NOUN
,	,	PUNCT
de	de	ADP
la	le	DET
vie	vie	NOUN
et	et	CCONJ
de	de	ADP
leur	leur	DET
rapport	rapport	NOUN
,	,	PUNCT
avait	avoir	AUX
dû	devoir	VERB
s'	se	PRON
imposer	imposer	VERB
avec	avec	ADP
une	un	DET
force	force	NOUN
particulière	particulière	VERB
