form	lemma	POS
"
    
    "	"
    
    "	SPACE
Le	le	DET
souvenir	souvenir	NOUN
du	de	DET
fruit	fruit	NOUN
défendu	défendu	ADJ
est	être	AUX
ce	ce	PRON
qu'	qu'	PRON
il	il	PRON
y	y	PRON
a	avoir	VERB
de	de	ADP
plus	plus	ADV
ancien	ancien	ADJ
dans	dans	ADP
la	le	DET
mémoire	mémoire	NOUN
de	de	ADP
chacun	chacun	PRON
de	de	ADP
nous	nous	PRON
,	,	PUNCT
comme	comme	ADP
dans	dans	ADP
celle	celui	PRON
de	de	ADP
l'	le	DET
humanité	humanité	NOUN
.	.	PUNCT
Nous	nous	PRON
nous	nous	PRON
en	en	PRON
apercevrions	apercevoir	VERB
si	si	SCONJ
ce	ce	DET
souvenir	souvenir	NOUN
n'	n'	ADV
était	être	AUX
recouvert	recouvrir	VERB
par	par	ADP
d'	d'	DET
autres	autre	ADJ
,	,	PUNCT
auxquels	auxquels	PRON
nous	nous	PRON
préférons	préférer	VERB
nous	nous	PRON
reporter	reporter	VERB
.	.	PUNCT
Que	que	PRON
n'	n'	ADV
eût	avoir	AUX
pas	pas	ADV
été	être	AUX
notre	notre	DET
enfance	enfance	NOUN
si	si	SCONJ
l'	le	DET
on	on	PRON
nous	nous	PRON
avait	avoir	AUX
laissés	laisser	VERB
faire	faire	VERB
!	!	PUNCT
Nous	nous	PRON
aurions	avoir	VERB
volé	voler	ADJ
de	de	ADP
plaisirs	plaisir	NOUN
en	en	ADP
plaisirs	plaisir	NOUN
.	.	PUNCT
Mais	mais	CCONJ
voici	voici	VERB
qu'	que	SCONJ
un	un	DET
obstacle	obstacle	NOUN
surgissait	surgir	VERB
,	,	PUNCT
ni	ni	CCONJ
visible	visible	ADJ
ni	ni	CCONJ
tangible	tangible	ADJ
:	:	PUNCT
une	un	DET
interdiction	interdiction	NOUN
.	.	PUNCT
Pourquoi	pourquoi	ADV
obéissions	obéir	VERB
-nous	nous	PRON
?	?	PUNCT
La	le	DET
question	question	NOUN
ne	ne	ADV
se	se	PRON
posait	poser	VERB
guère	guère	ADV
;	;	PUNCT
nous	nous	PRON
avions	avoir	AUX
pris	prendre	VERB
l'	le	DET
habitude	habitude	NOUN
d'	de	ADP
écouter	écouter	VERB
nos	notre	DET
parents	parent	NOUN
et	et	CCONJ
nos	notre	DET
maîtres	maître	NOUN
.	.	PUNCT
Toutefois	toutefois	ADV
nous	nous	PRON
sentions	sentir	VERB
bien	bien	ADV
que	que	SCONJ
c'	ce	PRON
était	être	AUX
parce	parce	SCONJ
qu'	que	SCONJ
ils	il	PRON
étaient	être	AUX
nos	notre	DET
parents	parent	NOUN
,	,	PUNCT
parce	parce	SCONJ
qu'	que	SCONJ
ils	il	PRON
étaient	être	AUX
nos	notre	DET
maîtres	maître	NOUN
.	.	PUNCT
Donc	donc	ADV
,	,	PUNCT
à	à	ADP
nos	notre	DET
yeux	oeil	NOUN
,	,	PUNCT
leur	leur	DET
autorité	autorité	NOUN
leur	leur	PRON
venait	venir	VERB
moins	moins	ADV
d'	de	ADP
eux	lui	PRON
-	-	PRON
mêmes	même	PRON
que	que	SCONJ
de	de	ADP
leur	leur	DET
situation	situation	NOUN
par	par	ADP
rapport	rapport	NOUN
à	à	ADP
nous	nous	PRON
.	.	PUNCT
Ils	il	PRON
occupaient	occuper	VERB
une	un	DET
certaine	certain	ADJ
place	place	NOUN
:	:	PUNCT
c'	ce	PRON
est	être	AUX
de	de	ADP
là	là	ADV
que	que	SCONJ
partait	partir	VERB
,	,	PUNCT
avec	avec	ADP
une	un	DET
force	force	NOUN
de	de	ADP
pénétration	pénétration	NOUN
qu'	qu'	PRON
il	il	PRON
n'	n'	ADV
aurait	avoir	AUX
pas	pas	ADV
eue	avoir	VERB
s'	s'	SCONJ
il	il	PRON
avait	avoir	AUX
été	être	AUX
lancé	lancer	VERB
d'	de	ADP
ailleurs	ailleurs	ADV
,	,	PUNCT
le	le	DET
commandement	commandement	NOUN
.	.	PUNCT
En	en	ADP
d'	d'	DET
autres	autre	ADJ
termes	terme	NOUN
,	,	PUNCT
parents	parent	NOUN
et	et	CCONJ
maîtres	maître	ADJ
semblaient	sembler	VERB
agir	agir	VERB
par	par	ADP
délégation	délégation	NOUN
.	.	PUNCT
Nous	nous	PRON
ne	ne	ADV
nous	nous	PRON
en	en	PRON
rendions	rendion	NOUN
pas	pas	ADV
nettement	nettement	ADV
compte	compte	NOUN
,	,	PUNCT
mais	mais	CCONJ
derrière	derrière	ADP
nos	notre	DET
parents	parent	NOUN
et	et	CCONJ
nos	notre	DET
Maîtres	maître	NOUN
nous	nous	PRON
devinions	deviner	VERB
quelque	quelque	DET
chose	chose	NOUN
d'	de	ADP
énorme	énorme	ADJ
ou	ou	CCONJ
plutôt	plutôt	ADV
d'	de	ADP
indéfini	indéfini	PROPN
,	,	PUNCT
qui	qui	PRON
pesait	peser	VERB
sur	sur	ADP
nous	nous	PRON
de	de	ADP
toute	tout	ADJ
sa	son	DET
masse	masse	NOUN
par	par	ADP
leur	leur	DET
intermédiaire	intermédiaire	NOUN
.	.	PUNCT
Nous	nous	PRON
dirions	dire	VERB
plus	plus	ADV
tard	tard	ADV
que	que	SCONJ
c'	ce	PRON
est	être	AUX
la	le	DET
société	société	NOUN
.	.	PUNCT
Philosophant	philosopher	VERB
alors	alors	ADV
sur	sur	ADP
elle	lui	PRON
,	,	PUNCT
nous	nous	PRON
la	le	DET
comparerions	comparerion	NOUN
à	à	ADP
un	un	DET
organisme	organisme	NOUN
dont	dont	PRON
les	le	DET
cellules	cellule	NOUN
,	,	PUNCT
unies	unie	NOUN
par	par	ADP
d'	d'	DET
invisibles	invisible	NOUN
liens	lien	ADJ
,	,	PUNCT
se	se	PRON
subordonnent	subordonner	VERB
les	le	DET
unes	une	NOUN
aux	à	ADP
autres	autre	ADJ
dans	dans	ADP
une	un	DET
hiérarchie	hiérarchie	NOUN
savante	savant	NOUN
et	et	CCONJ
se	se	PRON
plient	plier	VERB
naturellement	naturellement	ADV
,	,	PUNCT
pour	pour	ADP
le	le	DET
plus	plus	ADV
grand	grand	ADJ
bien	bien	NOUN
du	de	DET
tout	tout	ADV
,	,	PUNCT
à	à	ADP
une	un	DET
discipline	discipline	NOUN
qui	qui	PRON
pourra	pouvoir	VERB
exiger	exiger	VERB
le	le	DET
sacrifice	sacrifice	NOUN
de	de	ADP
la	le	DET
partie	partie	NOUN
.	.	PUNCT
Ce	ce	PRON
ne	ne	ADV
sera	être	VERB
d'	de	ADP
ailleurs	ailleurs	ADV
là	là	ADV
qu'	que	SCONJ
une	un	DET
comparaison	comparaison	NOUN
,	,	PUNCT
car	car	CCONJ
autre	autre	ADJ
chose	chose	NOUN
est	être	AUX
un	un	DET
organisme	organisme	NOUN
soumis	soumettre	VERB
à	à	ADP
des	un	DET
lois	loi	NOUN
nécessaires	nécessaire	ADJ
,	,	PUNCT
autre	autre	ADJ
chose	chose	NOUN
une	un	DET
société	société	NOUN
constituée	constituer	VERB
par	par	ADP
des	un	DET
volontés	volonté	NOUN
libres	libre	ADJ
.	.	PUNCT
Mais	mais	CCONJ
du	de	DET
moment	moment	NOUN
que	que	SCONJ
ces	ce	DET
volontés	volonté	NOUN
sont	être	AUX
organisées	organiser	VERB
,	,	PUNCT
elles	lui	PRON
imitent	imiter	VERB
un	un	DET
organisme	organisme	NOUN
;	;	PUNCT
et	et	CCONJ
dans	dans	ADP
cet	ce	DET
organisme	organisme	NOUN
plus	plus	ADV
ou	ou	CCONJ
moins	moins	ADV
artificiel	artificiel	NOUN
l'	le	DET
habitude	habitude	NOUN
joue	joue	VERB
le	le	DET
même	même	ADJ
rôle	rôle	NOUN
que	que	SCONJ
la	le	DET
nécessité	nécessité	NOUN
dans	dans	ADP
les	le	DET
œuvres	œuvre	NOUN
de	de	ADP
la	le	DET
nature	nature	NOUN
.	.	PUNCT
De	de	ADP
ce	ce	DET
premier	premier	ADJ
point	point	NOUN
de	de	ADP
vue	vue	NOUN
,	,	PUNCT
la	le	DET
vie	vie	NOUN
sociale	social	ADJ
nous	nous	PRON
apparaît	apparaître	VERB
comme	comme	ADP
un	un	DET
système	système	NOUN
d'	de	ADP
habitudes	habitude	NOUN
plus	plus	ADV
ou	ou	CCONJ
moins	moins	ADV
fortement	fortement	ADV
enracinées	enraciner	VERB
qui	qui	PRON
répondent	répondre	VERB
aux	à	ADP
besoins	besoin	NOUN
de	de	ADP
la	le	DET
communauté	communauté	NOUN
.	.	PUNCT
Certaines	certains	PRON
d'	de	ADP
entre	entre	ADP
elles	lui	PRON
sont	être	AUX
des	un	DET
habitudes	habitude	NOUN
de	de	ADP
commander	commander	NOUN
,	,	PUNCT
la	le	DET
plupart	plupart	NOUN
sont	être	AUX
des	un	DET
habitudes	habitude	NOUN
d'	de	ADP
obéir	obéir	NOUN
,	,	PUNCT
soit	soit	CCONJ
que	que	SCONJ
nous	nous	PRON
obéissions	obéir	VERB
à	à	ADP
une	un	DET
personne	personne	NOUN
qui	qui	PRON
commande	commande	VERB
en	en	ADP
vertu	vertu	NOUN
d'	de	ADP
une	un	DET
délégation	délégation	NOUN
sociale	social	ADJ
,	,	PUNCT
soit	soit	CCONJ
que	que	ADV
de	de	ADP
la	le	DET
société	société	NOUN
elle-même	lui-même	PRON
,	,	PUNCT
confusément	confusémer	VERB
perçue	percevoir	VERB
ou	ou	CCONJ
sentie	sentie	NOUN
,	,	PUNCT
émane	éman	ADJ
un	un	DET
ordre	ordre	NOUN
impersonnel	impersonnel	ADJ
.	.	PUNCT
Chacune	chacun	PRON
de	de	ADP
ces	ce	DET
habitudes	habitude	NOUN
d'	de	ADP
obéir	obéir	NOUN
exerce	exercer	VERB
une	un	DET
pression	pression	NOUN
sur	sur	ADP
notre	notre	DET
